  detector,    energy,     pixel, amplitude,    center,     width,background,  lowerBin,  upperBin,  A4Offset
        12,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -5.0000
        12,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -5.0000
        12,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -5.0000
        12,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -5.0000
        13,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -7.0000
        13,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -7.0000
        13,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -7.0000
        13,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -7.0000
        13,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -7.0000
        14,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -9.0000
        14,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -9.0000
        14,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -9.0000
        14,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -9.0000
        14,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,   -9.0000
        15,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -11.0000
        15,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -11.0000
        15,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -11.0000
        15,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -11.0000
        15,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -11.0000
        16,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -13.0000
        16,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -13.0000
        16,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -13.0000
        16,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -13.0000
        16,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -13.0000
        17,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -15.0000
        17,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -15.0000
        17,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -15.0000
        17,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -15.0000
        17,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -15.0000
        18,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -17.0000
        18,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -17.0000
        18,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -17.0000
        18,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -17.0000
        18,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -17.0000
        19,         0,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -19.0000
        19,         1,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -19.0000
        19,         2,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -19.0000
        19,         3,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -19.0000
        19,         4,         0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -19.0000
